sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,product_online,tax_class_name,visibility,price,special_price,url_key,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
INS-11547,,Default,simple,"Default Category/Categories/Women/PRODUCTS/STYLE/GEL,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Men/PRODUCTS/STYLE/GEL,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/GLYCERIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/GLYCERIN FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Women/PRODUCTS/STYLE/ONE & DONE STYLERS","base,UAE",Inahsi Naturals - Moisture Supreme Fragrance Curl Sculpting Glaze,1,Taxable Goods,"Catalog, Search",7.95,6.75,inahsi-naturals-moisture-supreme-fragrance-curl-sculpting-glaze,"3/31/23, 9:43 AM","7/14/24, 12:20 PM",,,Block after Info Column,,,,Yes,,,,,,,Use config,,"barcode=810110850309,featured=No,hair_concern=Fragrance Free|Coconut Oil Free|Glycerin Free|Protein Free,hair_type=Curly Hair|Coily Hair,how_to_use=<p><strong>For wavy-curly hair types:</strong>&nbsp;Shampoo and condition hair. Section hair and detangle each section using&nbsp;Moisture Supreme Fragrance-Free Hydrating Mist. While hair is wet or damp, apply gel to hair quickly and evenly from root to tip. &nbsp;For more defined curls, scrunch or twist your hair. Flip hair upside down and scrunch product in evenly to create more volume.</p>
<p><strong>For curly-kinky hair types:</strong>&nbsp;Shampoo and condition hair. Section hair and detangle each section using&nbsp;Moisture Supreme Fragrance-Free Hydrating Mist&nbsp;or Aloe Hibiscus Leave in Conditioner. While hair is dripping wet, apply&nbsp;Pamper My Curls Hair and Scalp Elixir to each section then pull gel through hair from root to tip. Smooth with fingers to elongate the curls. Use Moisture Supreme Fragrance Free Hydrating Mist to re-wet hair for any dry sections.</p>,ingredients=<p>Aqua (Water/Eau), VP/VA Copolymer, Hydroxyethylcellulose, Aloe Barbadensis (Aloe Vera) Extract, Caprylyl Glycol, Phenoxyethanol, Sorbic Acid, Althaea Officinalis (Marshmallow) Leaf Root Extract, Chamomille Recutita (Matricaria) Flower Extract, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Helianthus annuus (Sunflower) Seed Oil</p>,mgs_brand=INAHSI NATURALS,sm_featured=No",0,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,/m/o/moisturesupremesculptingglaze_ets3na6dhg9xs9u6.jpg,Moisture Supreme Fragrance Curl Sculpting Glaze,,,,,,,,,,,,,
INS-11547,en,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-11547,ar,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-11549,,Default,simple,"Default Category/Categories/Women/PRODUCTS/CONDITION/LEAVE-IN,Default Category/Categories/Women/PRODUCTS/MOISTURIZE/LEAVE IN,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Men/PRODUCTS/MOISTURIZE/LEAVE-IN,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Women/PRODUCTS/REFRESH/REFRESH\/DETANGLING SPRAY,Default Category/Categories/Men/PRODUCTS/CONDITION/LEAVE-IN,Default Category/Categories/Men/PRODUCTS/REFRESH/REFRESH\/DETANGLING SPRAY,Default Category/SHOP INFLUENCER PICKS FOR MEN/@ahmad.jpeg",base,Inashi Naturals - Moisture Supreme Fragrance Leave-in Hydrating Mist,1,Taxable Goods,"Catalog, Search",7.95,6.75,inahsi-naturals-moisture-supreme-fragrance-leave-in-hydrating-mist,"3/31/23, 9:43 AM","6/5/24, 1:20 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"barcode=810110850323,featured=No,hair_concern=Fragrance Free|Coconut Oil Free|Protein Free,hair_type=Curly Hair|Coily Hair,how_to_use=<p>Spray evenly on wet hair&nbsp;to melt away tangles. Scrunch hair and flip hair upside down to create volume.&nbsp;</p>
<p>Spray evenly on dry hair to refresh curls, moisturize, and nourish the hair and scalp. Can also be used during protective styling such as twists, braids or sew-ins. Help keep Locs moisturized without weighing them down.</p>,ingredients=<p>Aqua (Water/Eau), Aloe Barbadensis (Aloe Vera) Extract, Glycerin, Panthenol, Cetrimonium Chloride, Behentrimonium Methosulfate, Cetearyl Alcohol, Cetyl Alcohol, Caprylyl Glycol, Phenoxyethanol, Sorbic Acid, Althaea Officinalis (Marshmallow) Leaf/Root Extract, Chamomille Recutita (Matricaria) Flower Extract, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Angelica Archangelica (Angelica Root) Extract</p>,mgs_brand=INAHSI NATURALS,sm_featured=No",0,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,/m/o/moisturesuprememist_vs5y8k5tlfqvdlfx.jpg,,,,,,,,,,,,,,
INS-11549,en,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-11549,ar,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-11548,,Default,simple,"Default Category/Categories/Kids/PRODUCTS/TREAT,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Men/PRODUCTS/TREAT/DEEP CONDITIONING MASK,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Women/PRODUCTS/TREAT/DEEP CONDITIONING MASK",UAE,Inahsi Naturals - Moisture Supreme Fragrance Free Hair Masque,1,Taxable Goods,"Catalog, Search",7.95,6.75,inahsi-naturals-moisture-supreme-fragrance-free-hair-masque,"3/31/23, 9:43 AM","5/4/24, 1:06 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"barcode=810110850316,featured=No,hair_concern=Fragrance Free|Coconut Oil Free|Protein Free,hair_type=Curly Hair|Coily Hair,how_to_use=<p>Section clean, wet hair. Apply a generous amount of product from root to tip, using your fingers or wide tooth comb to detangle. Allow product to sit for 5 minutes. Rinse thoroughly.</p>
<p>For best results, cover hair with a plastic cap then apply moderate heat for up to 30 minutes. Rinse thoroughly. For steamer, sit with hair uncovered. The steam will add extra moisture.</p>,ingredients=<p>Aqua (Distilled Water),&nbsp;<em>Aloe Barbadensis Leaf Juice (</em>Aloe Vera Juice), Cetearyl Alcohol, Cetyl&nbsp;Alcohol, Vegetable Glycerin, Mangifera indica (Mango) Seed Butter, Helianthus annuus (Sunflower) Seed Oil, Persea gratissima (Avocado) Oil, Cetrimonium Chloride, Panthenol-DL (Pro Vitamin B5), Behentrimonium Methosulfate, Hyaluronic Acid, Urtica dioica (Nettle) Extract, Equisetum hyemale (Horsetail) Extract, Capryl Gycol, Phenoxyethanol, Sorbic acid</p>,mgs_brand=INAHSI NATURALS,sm_featured=No",0,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,/m/o/moisturesuprememasque_d647hlqzw1ykeqac.jpg,Moisture Supreme Fragrance Free Hair Masque,,,,,,,,,,,,,
INS-11546,,Default,simple,"Default Category/Categories/Women/PRODUCTS/CONDITION/RINSE OUT,Default Category/Categories/Men/PRODUCTS/CONDITION,Default Category/Categories/Kids/PRODUCTS/CONDITION,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Men/PRODUCTS/CONDITION/RINSE-OUT,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/SHOP INFLUENCERS PICKS FOR WOMEN/@thekrayat.kh",UAE,Inahsi Naturals - Moisture Supreme Fragrance Free Conditioner,1,Taxable Goods,"Catalog, Search",5.95,5,inahsi-naturals-moisture-supreme-fragrance-free-conditioner,"3/31/23, 9:43 AM","7/14/24, 12:11 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"barcode=810110850293,featured=No,hair_concern=Fragrance Free|Coconut Oil Free|Protein Free,hair_type=Curly Hair|Coily Hair,how_to_use=<p>On clean wet hair, apply from root to tip. Let product sit for 3-5 minutes. Rinse thoroughly.</p>,ingredients=<p>Aqua (Purified Water),&nbsp;<em>Aloe Barbadensis Leaf Juice (</em>Aloe Vera Juice), Vegetable Glycerin, Cetrimonium Chloride, Cetearyl Alcohol, Behentrimonium Methosulfate, Cetyl&nbsp;Alcohol, Hyaluronic Acid,&nbsp;Olea Europeae (Olive) Fruit Oil, Persea gratissima (Avocado) Oil, Hibiscus rosa-sinensis (Hibiscus) Extract, Urtica dioica (Nettle) Extract, Equisetum Hyemale (Horsetail), Capryl Gycol , Phenoxyethanol, Sorbic acid.</p>,mgs_brand=INAHSI NATURALS,sm_featured=No",0,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,/m/o/moisturesupremeconditioner_gj3g6o2awes1zvx9.jpg,Moisture Supreme Fragrance Free Conditioner,,,,,,,,,,,,,
INS-11550,,Default,simple,"Default Category/Categories/Women/PRODUCTS/CLEANSE/SHAMPOO,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS,Default Category/Categories/Men/PRODUCTS/CLEANSE/SHAMPOO,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/CURLY HAIR,Default Category/Categories/Men/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR TYPE/COILY HAIR,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/FRAGRANCE FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/COCONUT OIL FREE,Default Category/Categories/Women/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE,Default Category/Categories/Men/SHOP/SHOP BY HAIR CONCERNS/PROTEIN FREE",base,Inahsi Naturals - Moisture Supreme Fragrance Free Gentle Shampoo,2,Taxable Goods,"Catalog, Search",5.95,5,inahsi-naturals-moisture-supreme-fragrance-free-gentle-shampoo,"3/31/23, 9:43 AM","7/7/24, 10:05 AM",,,Block after Info Column,,,,No,,,,,,,Use config,,"barcode=810110850330,featured=No,hair_concern=Fragrance Free|Coconut Oil Free|Protein Free,hair_type=Curly Hair|Coily Hair,how_to_use=<p>Apply product to wet hair. Massage into scalp and rinse hair thoroughly</p>,ingredients=<p>Aqua (Purified Water),&nbsp;<em>Aloe Barbadensis Leaf Juice (</em>Aloe Vera Juice), Sodium Cocoyl Isethionate, Cocoamidopropyl Betaine, Decyl Glucoside, Vegetable Glycerin, Guar Hydroxypropyltrimonium Chloride (Guar Gum), Urtica dioica (Nettle) Extract, Equisetum Hyemale (Horsetail) Extract, Capryl Glycol , Phenoxyethanol, Sorbic acid, Citric Acid</p>,mgs_brand=INAHSI NATURALS,sm_featured=No",0,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,/m/o/moisturesupremeshampoo_rqrbhqzvnkv8uddo.jpg,Moisture Supreme Fragrance-Fee Gentle Shampoo.,,,,,,,,,,,,,
INS-11550,en,Default,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
