source_code,sku,status,quantity
UAE,8756546789-Black-L,1,10
UAE,c123456,1,200
UAE,BCL-11545,1,18
UAE,Birthday Giftcard,1,2000
UAE,ergerggreg-150 OX,1,1200
UAE,ergerggreg-100 OX,1,1000
UAE,ergerggreg-200 OX,1,100
UAE,SHE-100001-100 OX,1,100
UAE,SHE-100001-150 OX,1,50
UAE,SHE-100001-200 OX,1,20
UAE,She10001-100 OX,1,100
UAE,She10001-200 OX,1,100
UAE,She10001-150 OX,1,100
UAE,CLE-CE0001,1,45
UAE,Get me started - Email Only,0,0
UAE,Zoom Video,0,0
UAE,INS-11547,1,0
UAE,INS-11549,1,0
UAE,INS-11548,1,0
UAE,INS-11546,1,0
UAE,INS-11550,1,0
UAE,BCL-0013,1,0
UAE,FCL-FC030,1,1
UAE,FCL-FC029,1,0
UAE,FCL-FC028,1,0
UAE,BCL-11544,1,0
UAE,BCL-11543,1,37
UAE,HES-11541,1,0
UAE,HES-11537,1,5
UAE,CLE-11523,1,0
UAE,GIF-11283,1,0
UAE,TCN-11284,1,0
UAE,DEN-11515,1,0
UAE,CKR-11286,1,34
UAE,BCL-1157L,1,0
UAE,BCL-1063L,1,0
UAE,BCL-1005L,1,0
UAE,BCL-1008L,1,0
UAE,BCL-2010L,1,0
UAE,BCL-1380L,1,0
UAE,BCL-1384L,1,0
UAE,CLE-CE0045,1,42
UAE,AIA-501575,1,6
UAE,AIA-501577,1,4
UAE,AIA-501576,1,3
UAE,AIA-501573,1,6
UAE,AIA-501572,1,10
UAE,AIA-501574,1,5
UAE,CSM-SC012,1,19
UAE,AIA-501732,1,0
UAE,AIA-501729,1,7
UAE,AIA-501734,1,0
UAE,AIA-501731,1,2
UAE,AIA-501728,1,0
UAE,AIA-501730,1,11
UAE,BNC-500014,1,17
UAE,BNC-500013,1,12
UAE,RZC-KIT02,1,0
UAE,RZC-11206,1,35
UAE,RAW-11203,1,0
UAE,THC-10010,1,0
UAE,CEI-CEIKIT,1,5
UAE,ECO-11057,1,10
UAE,CSM-KIT18,1,10
UAE,DEN-D3WHIT,1,0
UAE,CSM-SH011,1,0
UAE,BNC-500012,1,19
UAE,DEN-D90LPNK,1,6
UAE,DEN-D4WHIT,1,0
UAE,CEI-CE0046,1,40
UAE,CEI-CEI003,1,44
UAE,CEI-CEI002,1,33
UAE,CEI-CEI001,1,24
UAE,CEI-CEI004,1,10
UAE,INS-60509,1,0
UAE,INS-60904,1,0
UAE,INS-60503,1,16
UAE,INS-60510,1,0
UAE,INS-60511,1,0
UAE,INS-60512,1,1
UAE,BCL-1328,1,29
UAE,AIA-501680,1,13
UAE,AIA-501679,1,13
UAE,AIA-501678,1,0
UAE,AIA-501677,1,7
UAE,AIA-501681,1,11
UAE,AIA-501676,1,5
UAE,CSM-KIT16,1,51
UAE,CSM-SC009,1,0
UAE,CSM-SH010,1,0
UAE,CSM-SH009,1,5
UAE,CSM-SH008,1,0
UAE,CSM-SH007,1,6
UAE,CSM-SH006,1,0
UAE,CSM-ST012,1,12
UAE,CSM-ST009,1,48
UAE,CSM-MO015,1,0
UAE,SOC-11228,1,0
UAE,SOC-11229,1,0
UAE,SOC-11224,1,0
UAE,SOC-11223,1,0
UAE,SOC-11226,1,0
UAE,SOC-11221,1,0
UAE,SOC-11219,1,0
UAE,SOC-11218,1,0
UAE,HES-90026,1,1
UAE,SHE-11209,1,0
UAE,CAN-07621,1,0
UAE,CAN-07006,1,0
UAE,CAN-10001,1,0
UAE,CAN-07882,1,0
UAE,CAN-07565,1,0
UAE,CAN-00002,1,9
UAE,CAN-00001,1,1
UAE,CAN-07013,1,0
UAE,SHE-100021,1,0
UAE,SHE-100020,1,1
UAE,SHE-11213,1,24
UAE,SHE-11214,1,0
UAE,SHE-11208,1,0
UAE,SHE-100014,1,0
UAE,SHE-100013,1,0
UAE,FCL-FC013,1,0
UAE,BRE-100010,1,0
UAE,CKR-CK012,1,0
UAE,CSM-SH002,1,40
UAE,CSM-SH001,1,30
UAE,CSM-SH003,1,35
UAE,CSM-SH005,1,13
UAE,CSM-SH004,1,18
UAE,CSM-KIT11,1,1
UAE,BCL-2005,1,0
UAE,BCL-2002,1,0
UAE,HES-90023,1,0
UAE,TCN-11233,1,0
UAE,TLX-60015,1,2
UAE,TLX-60016,1,2
UAE,TLX-60011,1,3
UAE,TLX-60010,1,3
UAE,INS-60521,1,17
UAE,INS-60504,1,0
UAE,INS-60505,1,33
